SerialNumber: E58926083144-43F0
time (UTC+00:00)	q1	q2	q3	q4	Interference

09/06/2025 18:07:31.205	0.72419405	-0.494452	-0.25237998	-0.40940124	None
09/06/2025 18:07:31.215	0.7256152	-0.49333283	-0.25184414	-0.40856412	None
09/06/2025 18:07:31.225	0.72698814	-0.49234578	-0.25150612	-0.40752143	None
09/06/2025 18:07:31.235	0.7280761	-0.4917726	-0.25103652	-0.40656012	None
09/06/2025 18:07:31.245	0.72864676	-0.4918906	-0.25031403	-0.4058404	None
09/06/2025 18:07:31.255	0.7286763	-0.4928438	-0.24927258	-0.40527153	None
09/06/2025 18:07:31.265	0.72856283	-0.49399942	-0.24796791	-0.40486833	None
09/06/2025 18:07:31.275	0.72861207	-0.4950064	-0.24654275	-0.40442	None
09/06/2025 18:07:31.285	0.7286583	-0.49610803	-0.24506992	-0.4038817	None
09/06/2025 18:07:31.295	0.72866833	-0.49736696	-0.24336416	-0.40334633	None
09/06/2025 18:07:31.305	0.72856694	-0.4988121	-0.24146874	-0.4028838	None
09/06/2025 18:07:31.315	0.7283685	-0.50034565	-0.23955733	-0.40248188	None
09/06/2025 18:07:31.325	0.7283142	-0.50162816	-0.2377735	-0.4020412	None
09/06/2025 18:07:31.335	0.72839874	-0.5026507	-0.23626147	-0.40150172	None
09/06/2025 18:07:31.345	0.72848684	-0.50356346	-0.23509386	-0.40088323	None
09/06/2025 18:07:31.355	0.72847855	-0.5045675	-0.23416522	-0.40017888	None
09/06/2025 18:07:31.365	0.72836816	-0.5057131	-0.23328565	-0.39944676	None
09/06/2025 18:07:31.375	0.72834706	-0.50679463	-0.23235355	-0.3986571	None
09/06/2025 18:07:31.385	0.7284284	-0.50765723	-0.23163049	-0.3978306	None
09/06/2025 18:07:31.395	0.72848266	-0.50835854	-0.23103128	-0.39718392	None
09/06/2025 18:07:31.405	0.72837526	-0.50938785	-0.23014158	-0.3965782	None
09/06/2025 18:07:31.415	0.7281746	-0.51068234	-0.2289895	-0.395948	None
09/06/2025 18:07:31.425	0.7277413	-0.51222897	-0.22796056	-0.39533994	None
09/06/2025 18:07:31.435	0.7272513	-0.5137999	-0.22700322	-0.39475366	None
09/06/2025 18:07:31.445	0.7267884	-0.5152928	-0.22615223	-0.39414835	None
09/06/2025 18:07:31.455	0.7265126	-0.516445	-0.22551936	-0.393511	None
09/06/2025 18:07:31.465	0.7267303	-0.5168944	-0.2251091	-0.3927532	None
09/06/2025 18:07:31.475	0.72726506	-0.5168441	-0.22514898	-0.3918056	None
09/06/2025 18:07:31.485	0.72780097	-0.5167805	-0.2253338	-0.39078674	None
09/06/2025 18:07:31.495	0.7280774	-0.51708394	-0.22520857	-0.38994172	None
09/06/2025 18:07:31.505	0.7282243	-0.51766926	-0.22444862	-0.3893286	None
09/06/2025 18:07:31.515	0.7283892	-0.51830345	-0.22337952	-0.3887905	None
09/06/2025 18:07:31.525	0.7286994	-0.5187691	-0.22233751	-0.38818544	None
09/06/2025 18:07:31.535	0.7290018	-0.5194428	-0.22123215	-0.38734704	None
09/06/2025 18:07:31.545	0.72967905	-0.51969534	-0.22022583	-0.38630518	None
