SerialNumber: E58926083144-43F0
time (UTC+00:00)	q1	q2	q3	q4	Interference

09/06/2025 17:32:38.391	-0.60578084	0.5955551	0.20365195	0.48694494	None
09/06/2025 17:32:38.401	-0.60576284	0.5957565	0.20378838	0.48666394	None
09/06/2025 17:32:38.411	-0.6057117	0.5959838	0.20379399	0.48644698	None
09/06/2025 17:32:38.421	-0.6056479	0.5961926	0.20372795	0.48629805	None
09/06/2025 17:32:38.431	-0.60565376	0.5962306	0.20368224	0.48626348	None
09/06/2025 17:32:38.441	-0.6057835	0.5959896	0.20393385	0.4862913	None
09/06/2025 17:32:38.451	-0.6057244	0.5959723	0.20426166	0.48624885	None
09/06/2025 17:32:38.461	-0.6055871	0.59611326	0.20447765	0.48615643	None
09/06/2025 17:32:38.471	-0.60547197	0.59633505	0.20453027	0.4860055	None
09/06/2025 17:32:38.481	-0.60525465	0.5967269	0.20451663	0.48580113	None
09/06/2025 17:32:38.491	-0.60507095	0.59715116	0.2043334	0.4855857	None
09/06/2025 17:32:38.501	-0.60505074	0.59737366	0.20408496	0.4854413	None
09/06/2025 17:32:38.511	-0.60515875	0.5973441	0.20403571	0.48536313	None
09/06/2025 17:32:38.521	-0.60516006	0.5972698	0.20425661	0.48536062	None
09/06/2025 17:32:38.531	-0.6049287	0.5973551	0.20452248	0.4854324	None
09/06/2025 17:32:38.541	-0.6045649	0.59753674	0.2048206	0.4855363	None
09/06/2025 17:32:38.551	-0.60433465	0.5976971	0.20499058	0.48555392	None
09/06/2025 17:32:38.561	-0.60416085	0.59791005	0.2050053	0.48550174	None
09/06/2025 17:32:38.571	-0.60404396	0.5982283	0.2046639	0.4853992	None
09/06/2025 17:32:38.581	-0.60403275	0.5984152	0.20416261	0.4853933	None
09/06/2025 17:32:38.591	-0.60415894	0.59842885	0.20405999	0.48526198	None
09/06/2025 17:32:38.601	-0.6042175	0.5984145	0.20435424	0.48508385	None
09/06/2025 17:32:38.611	-0.6038948	0.5986487	0.2046729	0.48506245	None
09/06/2025 17:32:38.621	-0.6035884	0.5988886	0.20482382	0.485084	None
09/06/2025 17:32:38.631	-0.6035159	0.599184	0.20459048	0.484908	None
09/06/2025 17:32:38.641	-0.6033306	0.59958833	0.20420827	0.48479983	None
09/06/2025 17:32:38.651	-0.6029503	0.60009736	0.2038727	0.48478422	None
09/06/2025 17:32:38.661	-0.6026398	0.6004675	0.2036042	0.4848249	None
09/06/2025 17:32:38.671	-0.60257906	0.60054	0.2034223	0.48488656	None
09/06/2025 17:32:38.681	-0.6026056	0.60051876	0.20331118	0.48492673	None
09/06/2025 17:32:38.691	-0.60242647	0.600631	0.20340101	0.4849727	None
09/06/2025 17:32:38.701	-0.60223895	0.60075575	0.20328067	0.48510176	None
09/06/2025 17:32:38.711	-0.6021666	0.6009521	0.20294172	0.48509	None
09/06/2025 17:32:38.721	-0.60202295	0.60133284	0.20272802	0.484886	None
09/06/2025 17:32:38.731	-0.6019698	0.6015749	0.2025095	0.48474282	None
09/06/2025 17:32:38.741	-0.6019115	0.60170084	0.20238793	0.4847096	None
09/06/2025 17:32:38.751	-0.6015499	0.60202974	0.20255993	0.48467848	None
09/06/2025 17:32:38.761	-0.60113996	0.6023413	0.20272562	0.48473063	None
09/06/2025 17:32:38.771	-0.6008	0.6026649	0.2026685	0.48477408	None
09/06/2025 17:32:38.781	-0.6004031	0.60313046	0.20253076	0.4847444	None
09/06/2025 17:32:38.791	-0.59986174	0.6036932	0.20244235	0.48475075	None
